#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
A, 0.00,0.10,0.00,0.00,0.00,0.10,
B, 0.00,0.20,0.00,0.31,0.00,0.24,
C, 0.00,0.44,0.00,0.47,0.00,0.35,
D, 0.00,0.00,0.00,0.26,0.00,0.20,
A, 0.00,0.39,0.00,0.49,0.00,0.40,
B, 0.00,0.49,0.00,0.51,0.00,0.45,
C, 0.00,0.40,0.00,0.47,0.00,0.41,
D, 0.00,0.48,0.00,0.50,0.00,0.46,
